City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,grindavik,75,IS,1526848200,86,63.84,-22.43,42.8,20.8
88,chokurdakh,56,RU,1526850574,98,70.62,147.9,22.79,12.59
89,saldanha,8,PT,1526850433,62,41.42,-6.55,59.24,3.76
90,kiruna,20,SE,1526847600,57,67.86,20.23,51.8,10.29
91,praia da vitoria,75,PT,1526846400,82,38.73,-27.07,60.8,24.9
92,zaysan,0,KZ,1526850736,61,47.47,84.87,23.87,3.2
93,severo-yeniseyskiy,0,RU,1526850736,81,60.37,93.04,24.68,2.3
94,avarua,40,CK,1526846400,69,-21.21,-159.78,82.4,6.93
95,worthing,0,GB,1526847600,82,50.81,-0.37,62.6,9.17
96,mar del plata,0,AR,1526850460,76,-46.43,-67.52,48.44,8.01
97,arraial do cabo,20,BR,1526846400,56,-22.97,-42.02,71.6,19.46
98,anito,68,PH,1526850737,100,12.45,125.29,80.21,4.09
99,pevek,24,RU,1526850494,87,69.7,170.27,36.29,8.12
100,najran,20,SA,1526846400,20,17.54,44.22,84.2,6.93
101,mount gambier,92,AU,1526850548,97,-37.83,140.78,55.1,7.45
102,batsfjord,40,NO,1526845800,93,70.63,29.72,48.2,20.8
103,codrington,0,AU,1526850509,85,-28.95,153.24,41.06,2.64
104,touros,0,BR,1526850493,77,-5.2,-35.46,81.92,12.26
105,east london,92,ZA,1526850256,100,-33.02,27.91,68.06,17.74
106,faanui,44,PF,1526850432,100,-16.48,-151.75,82.01,17.07
107,san andres,24,PH,1526850740,100,13.32,122.68,83.63,4.43
108,laguna,5,MX,1526849640,10,27.52,-110.01,93.2,11.41
109,sabang,8,PH,1526850740,98,13.72,123.58,77.87,3.31
110,kamenka,36,RU,1526850741,67,53.19,44.05,59.6,10.02
111,marystown,100,CA,1526850741,91,47.17,-55.16,49.07,28.48
112,isiro,92,CD,1526850741,100,2.77,27.62,67.61,0.18
113,wajid,80,SO,1526850742,67,3.81,43.25,78.59,8.79
114,adrar,0,DZ,1526846400,10,27.87,-0.29,86.0,11.41
115,northam,40,GB,1526847600,93,51.04,-4.21,60.8,5.82
116,bolshaya rechka,0,RU,1526848200,86,51.95,104.74,33.8,6.71
117,kodiak,90,US,1526845980,88,39.95,-94.76,69.8,3.36
118,calamar,92,CO,1526850743,96,1.96,-72.65,74.54,1.41
119,georgetown,40,GY,1526846400,78,6.8,-58.16,82.4,13.87
120,bethel,90,US,1526845980,87,60.79,-161.76,46.4,7.0
121,sola,20,NO,1526847600,82,58.89,5.65,55.4,5.82
122,pochutla,75,MX,1526849160,98,15.74,-96.47,89.6,11.41
123,cape town,90,ZA,1526846400,93,-33.93,18.42,60.8,16.11
124,noumea,90,NC,1526848200,94,-22.28,166.46,69.8,2.24
125,qaanaaq,0,GL,1526850428,93,77.48,-69.36,26.48,6.33
126,marabba,20,SD,1526850745,39,12.35,32.18,89.12,14.94
127,poso,88,ID,1526850746,100,-1.4,120.75,75.53,1.19
128,vondrozo,32,MG,1526850746,99,-22.82,47.32,60.86,2.19
129,dingle,0,PH,1526850463,93,11.0,122.67,71.84,2.08
130,namibe,0,AO,1526850746,96,-15.19,12.15,68.69,14.61
131,esso,64,RU,1526850747,81,55.93,158.7,37.91,1.63
132,buchanan,40,LR,1526846400,88,5.88,-10.05,80.6,4.43
133,suifenhe,20,CN,1526850747,76,44.39,131.16,49.79,2.64
134,andra,76,RU,1526850638,91,62.52,65.89,36.47,13.6
135,along,48,IN,1526850565,95,28.17,94.8,65.18,1.74
136,drayton valley,0,CA,1526850748,38,53.22,-114.98,73.19,7.11
137,san patricio,0,PY,1526850458,65,-26.98,-56.83,56.81,2.42
138,victoria,75,BN,1526848200,100,5.28,115.24,77.0,5.66
139,kavaratti,80,IN,1526850749,100,10.57,72.64,83.09,8.46
140,burns lake,12,CA,1526850669,62,54.23,-125.76,58.52,6.22
141,svetlaya,88,RU,1526850749,77,46.54,138.33,49.97,5.99
142,prince albert,5,CA,1526846400,16,53.2,-105.75,73.4,19.46
143,tanda,0,IN,1526850750,63,31.67,75.63,68.24,2.98
144,amahai,80,ID,1526850751,100,-3.31,129.0,81.02,7.78
145,kichera,92,RU,1526850751,97,55.93,110.1,30.62,2.19
146,vardo,1,US,1526849580,42,39.62,-77.74,87.8,12.75
147,north myrtle beach,1,US,1526848800,88,33.83,-78.68,78.8,5.82
148,nador,8,MA,1526848200,82,35.17,-2.93,64.4,5.82
149,trincomalee,88,LK,1526850752,88,8.58,81.23,77.96,15.5
150,rocha,48,UY,1526850752,83,-34.48,-54.34,57.89,10.8
151,ostrovnoy,68,RU,1526850500,78,68.05,39.51,37.55,12.26
152,fortuna,0,ES,1526848200,82,38.18,-1.13,66.2,1.12
153,ekhabi,92,RU,1526850753,92,53.51,142.97,33.86,9.01
154,iqaluit,90,CA,1526846400,68,63.75,-68.52,24.8,10.29
155,lebu,56,ET,1526850528,90,8.96,38.73,52.94,2.19
156,vostok,44,RU,1526850513,81,46.45,135.83,52.49,2.42
157,sangar,12,RU,1526850754,82,63.92,127.47,38.09,4.09
158,umea,0,SE,1526845800,87,63.83,20.26,48.2,3.36
159,bambous virieux,40,MU,1526846400,88,-20.34,57.76,71.6,19.46
160,whitehorse,90,CA,1526846940,62,60.72,-135.06,51.8,11.41
161,ilulissat,0,GL,1526845800,68,69.22,-51.1,30.2,4.7
162,goderich,24,CA,1526850755,86,43.74,-81.71,56.18,12.71
163,teguise,40,ES,1526848200,68,29.06,-13.56,66.2,10.29
164,bloomfield,64,US,1526848500,83,40.75,-92.42,71.6,2.98
165,norman wells,40,CA,1526846400,41,65.28,-126.83,57.2,11.41
166,cherskiy,32,RU,1526850463,90,68.75,161.3,35.39,1.97
167,elizabeth city,20,US,1526849460,62,36.3,-76.22,86.0,8.05
168,dikson,24,RU,1526850442,88,73.51,80.55,16.22,10.69
169,fairbanks,40,US,1526846280,36,64.84,-147.72,62.6,9.69
170,narrabri,64,AU,1526850681,90,-30.33,149.78,37.37,3.76
171,darhan,92,MN,1526850751,80,49.49,105.92,30.89,13.82
172,narsaq,44,GL,1526845800,51,60.91,-46.05,37.4,10.29
173,nouadhibou,0,MR,1526846400,68,20.93,-17.03,66.2,19.46
174,raahe,0,FI,1526847600,62,64.68,24.47,53.6,10.29
175,novikovo,0,UA,1526850759,100,45.05,34.56,56.27,2.53
176,akdepe,0,TM,1526848200,37,42.05,59.39,73.4,7.67
177,bogalusa,40,US,1526848500,34,30.79,-89.85,93.2,4.7
178,bambanglipuro,76,ID,1526850497,98,-7.95,110.28,72.83,2.75
179,port elizabeth,40,US,1526846160,58,39.31,-74.98,86.0,11.41
180,lasa,0,CY,1526848200,56,34.92,32.53,77.0,3.36
181,fukue,75,JP,1526848200,82,35.03,136.69,60.8,5.82
182,saint-philippe,75,CA,1526848500,68,45.36,-73.48,68.0,6.93
183,kambove,0,CD,1526850761,60,-10.88,26.6,65.27,4.65
184,tura,92,IN,1526850525,99,25.52,90.21,71.39,2.42
185,shenjiamen,92,CN,1526850524,99,29.96,122.3,68.69,10.8
186,lata,0,IN,1526850538,48,30.78,78.62,52.04,2.75
187,bandarbeyla,36,SO,1526850762,100,9.49,50.81,82.01,9.8
188,avera,90,US,1526848500,74,33.19,-82.53,82.4,5.82
189,havoysund,75,NO,1526847600,70,71.0,24.66,50.0,16.11
190,okhotsk,76,RU,1526850552,97,59.36,143.24,35.12,3.65
191,gilgit,68,PK,1526850763,97,35.92,74.31,30.62,0.07
192,fort pierce,75,US,1526848500,88,27.45,-80.33,82.4,16.06
193,hasaki,75,JP,1526848200,76,35.73,140.83,51.8,1.12
194,ngunguru,0,NZ,1526850764,100,-35.62,174.5,63.2,15.17
195,houma,92,CN,1526850556,90,35.63,111.36,58.88,4.88
196,torbay,90,CA,1526849580,93,47.66,-52.73,55.4,24.16
197,vitim,88,RU,1526850765,95,59.44,112.57,40.34,2.53
198,enshi,88,CN,1526850765,99,30.29,109.48,66.62,2.75
199,strezhevoy,0,RU,1526848200,87,60.73,77.6,48.2,8.95
200,kapit,92,MY,1526850766,98,2.02,112.94,74.54,2.19
201,tuktoyaktuk,75,CA,1526846400,79,69.44,-133.03,28.4,20.8
202,la asuncion,76,EC,1526850767,76,-1.64,-78.74,53.75,1.97
203,aitape,56,PG,1526850562,100,-3.15,142.36,78.95,2.86
204,jalu,12,LY,1526850767,17,29.03,21.55,86.33,8.79
205,egvekinot,0,RU,1526850507,93,66.32,-179.17,28.91,3.53
206,katherine,0,AU,1526850000,77,-14.47,132.26,60.8,8.05
207,lixourion,75,GR,1526845800,73,38.2,20.43,71.6,4.7
208,ducheng,92,CN,1526850768,95,30.54,114.9,73.01,9.35
209,balkanabat,0,TM,1526850651,31,39.51,54.36,66.08,4.21
210,hovd,0,NO,1526847600,51,63.83,10.7,62.6,3.36
211,canutama,76,BR,1526850769,78,-6.53,-64.38,80.66,4.09
212,niono,0,ML,1526850769,58,14.25,-5.99,87.77,3.2
213,suntar,80,RU,1526850462,68,62.16,117.65,39.71,3.2
214,matara,0,PE,1526850770,29,-13.74,-72.9,59.96,2.42
215,nizhnevartovsk,0,RU,1526848200,87,60.93,76.58,48.2,8.95
216,bereda,20,ES,1526848200,48,43.27,-7.54,64.4,5.82
217,coari,100,BR,1526850771,84,-4.09,-63.14,80.21,3.76
218,moussoro,0,TD,1526850771,16,13.64,16.49,79.49,8.46
219,buraydah,0,SA,1526846400,33,26.33,43.97,87.8,5.82
220,luderitz,8,NA,1526850485,93,-26.65,15.16,57.53,5.77
221,riberalta,75,BO,1526850000,53,-11.0,-66.08,77.0,13.87
222,aykhal,0,RU,1526850772,68,65.95,111.51,22.25,3.76
223,gamba,32,CN,1526850772,90,28.28,88.52,18.02,2.64
224,skjervoy,75,NO,1526847600,81,70.03,20.97,48.2,14.99
225,yilan,75,TW,1526848200,83,24.75,121.75,80.6,6.93
226,naples,75,US,1526845980,100,26.14,-81.79,73.4,6.93
227,cidreira,68,BR,1526850476,91,-30.17,-50.22,55.64,19.08
228,aracaju,0,BR,1526850000,78,-10.92,-37.08,80.6,9.17
229,martapura,44,ID,1526850774,100,-3.41,114.85,77.24,4.21
230,ancud,48,CL,1526850774,79,-41.87,-73.83,50.78,2.98
231,beloha,0,MG,1526850463,70,-25.17,45.06,67.34,15.05
232,lexington,1,US,1526848500,45,38.05,-84.5,86.0,8.46
233,batagay,92,RU,1526850573,94,67.65,134.64,31.16,12.03
234,carnarvon,80,ZA,1526850539,99,-30.97,22.13,48.53,7.67
235,sawtell,0,AU,1526848200,93,-30.38,153.1,44.6,4.7
236,geraldton,20,CA,1526846400,26,49.72,-86.95,69.8,12.75
237,ayagoz,0,KZ,1526850496,60,47.96,80.43,32.15,3.98
238,emerald,8,AU,1526850776,69,-23.53,148.16,47.54,9.8
239,osakarovka,0,KZ,1526850776,43,50.56,72.58,50.42,12.03
240,piacabucu,0,BR,1526850776,66,-10.41,-36.43,81.11,10.36
241,yenagoa,0,NG,1526850558,83,4.92,6.26,78.68,8.68
242,kysyl-syr,0,RU,1526850777,69,63.9,122.77,36.56,3.65
243,coihaique,75,CL,1526850000,57,-45.58,-72.07,48.2,8.05
244,devonport,36,AU,1526850612,80,-41.18,146.36,44.75,9.24
245,lagoa,0,PT,1526848200,88,37.14,-8.45,64.4,5.82
246,ust-ishim,8,RU,1526850778,78,57.69,71.17,58.79,10.25
247,luganville,48,VU,1526850778,100,-15.51,167.18,79.31,7.23
248,west wendover,1,US,1526846160,28,40.74,-114.07,73.4,6.93
249,alyangula,44,AU,1526850779,88,-13.85,136.42,80.12,22.32
250,buarcos,90,PT,1526846400,87,40.16,-8.88,59.0,2.24
251,pimentel,48,BR,1526850780,67,-3.7,-45.5,84.08,3.76
252,tubuala,40,PA,1526850000,74,9.52,-79.03,84.2,9.17
253,kaitangata,24,NZ,1526850443,91,-46.28,169.85,39.35,18.97
254,wabana,90,CA,1526849580,93,47.63,-52.95,55.4,24.16
255,kautokeino,80,NO,1526850675,62,69.01,23.04,50.24,12.71
256,gizo,0,IL,1526847600,50,31.8,34.94,77.0,2.24
257,kinsale,75,IE,1526848200,93,51.71,-8.52,53.6,6.93
258,pangoa,76,PE,1526850782,84,-12.12,-73.0,66.17,3.09
259,turtas,68,RU,1526850782,71,58.94,69.13,60.86,8.46
260,valparaiso,90,US,1526848500,72,41.47,-87.06,64.4,5.82
261,altay,0,CN,1526850783,59,47.83,88.13,14.69,3.65
262,mabaruma,92,GY,1526850784,90,8.2,-59.78,79.22,7.56
263,dargaville,36,NZ,1526850784,81,-35.94,173.86,61.67,14.05
264,kearney,90,US,1526848500,93,40.7,-99.08,59.0,12.75
265,abha,0,SA,1526846400,88,18.22,42.5,68.0,0.63
266,kruisfontein,0,ZA,1526850785,97,-34.0,24.73,62.66,12.15
267,sur,0,OM,1526850785,84,22.57,59.53,84.62,7.23
268,jamame,80,SO,1526850785,82,0.07,42.75,79.67,9.8
269,walvis bay,0,NA,1526846400,93,-22.95,14.51,57.2,13.27
270,cedar city,1,US,1526849580,13,37.68,-113.06,78.8,17.22
271,biloela,0,AU,1526850786,76,-24.4,150.51,43.04,8.68
272,rio brilhante,0,BR,1526850786,69,-21.8,-54.54,61.22,3.09
273,arivonimamo,20,MG,1526848200,82,-19.01,47.18,59.0,9.17
274,shakhtinsk,0,KZ,1526848200,48,49.71,72.59,42.8,4.47
275,ahipara,92,NZ,1526850551,88,-35.17,173.16,63.38,13.82
276,portland,20,US,1526849760,52,45.52,-122.67,66.2,3.36
277,vihti,0,FI,1526847600,44,60.42,24.32,59.0,5.82
278,ambalema,75,CO,1526850000,94,4.78,-74.76,77.0,5.82
279,champua,68,IN,1526850789,88,22.04,85.66,75.17,7.23
280,nioro,0,GM,1526850564,59,13.79,-15.05,82.28,4.76
281,boguchany,0,RU,1526850789,80,58.38,97.46,22.7,2.42
282,umm kaddadah,0,SD,1526850536,30,13.6,26.69,76.25,6.44
283,san luis,8,AR,1526850472,38,-33.3,-66.34,66.08,11.25
284,coquimbo,20,CL,1526846400,77,-29.95,-71.34,59.0,8.05
285,cockburn town,12,TC,1526850442,94,21.46,-71.14,79.76,24.34
286,west bay,40,GB,1526847600,93,50.71,-2.76,57.2,5.82
287,lorengau,88,PG,1526850464,100,-2.02,147.27,84.17,8.46
288,sao joao do piaui,0,BR,1526850791,49,-8.36,-42.25,83.99,2.75
289,stroby egede,0,DK,1526847600,81,55.41,12.24,55.4,5.82
290,padang,36,ID,1526850560,100,-0.92,100.36,82.73,4.32
291,saint-augustin,0,FR,1526848200,55,44.83,-0.61,66.2,4.7
292,yar-sale,92,RU,1526850792,92,66.83,70.83,34.22,16.84
